1;DH_CRIACAO;ID_META;DS_TITULO;DS_BANDEIRA;
191;02/02/2023;pCW7k7Dv6u;PRÉ INSCRITOS PÓS 1;UNIASSELVI;
192;06/02/2023;SSLAD6QRZz;Inscritos Pós MatFREE;UNIASSELVI;
193;06/02/2023;AyFWyE4bqa;Calouro com nota;UNIASSELVI; SD
194;06/02/2023;uFOwtDshqR;Calouro com nota;UNIASSELVI;
195;06/02/2023;qm7adihBU7;Calouro sem nota;UNIASSELVI;
196;06/02/2023;qhXZJNdBVB;Convite EPs Pré-Projeto Onboarding 1;UNIASSELVI;
197;07/02/2023;m6y1Ey5MQ9;RET - Oferta Especial;UNIASSELVI;
198;08/02/2023;XXtWxhNQ7N;Feirão - Financeiro;UNIASSELVI;
199;08/02/2023;qGmCy25Jcx;MTF - Engajamento;UNIASSELVI;
200;08/02/2023;xy5umR5DTN;*Convite EPs Pré-Projeto Onboarding;UNIASSELVI;
201;10/02/2023;dEVx4fNzof;MTF - Vencidos;UNIASSELVI;
202;14/02/2023;NJZGOXuXh2;MTF - Vencidos Campanha;UNIASSELVI;
203;14/02/2023;EyEAY6DOXJ;Uniedu - Documentos Pendentes;UNIASSELVI;
204;15/02/2023;3X2LcIdHfH;Ação 2 - Feirão Financeiro;UNIASSELVI;
205;17/02/2023;sZudd4aL6B;MTF - Vencidos novo;UNIASSELVI;
206;19/02/2023;Xp88pEPiP4;Veteranos - Antes do Início das Aulas;UNIASSELVI;
207;19/02/2023;lmPABhunBr;Veteranos - Início das Aulas;UNIASSELVI;
208;22/02/2023;fOxpelHFoE;Feirão Ação 3;UNIASSELVI;
209;24/02/2023;Zk1Ge5CrQX;Ação Recomeço 23/1 (Calouros 22/2);UNIASSELVI;
210;24/02/2023;2FWdVDbjX8;MTF- A vencer Campanha;UNIASSELVI;
211;24/02/2023;nGepOII9hj;MTF - Vencidos especial campanha;UNIASSELVI;
212;28/02/2023;KnxJ94DlMn;MTF - Vence hoje;UNIASSELVI;
213;28/02/2023;uuOpBRIugM;MTF - VENCIDOS FREE;UNIASSELVI;
214;28/02/2023;ZKwK75tYCj;Ação Recomeço 23/1 (Calouros 22/2) V2;UNIASSELVI;
215;01/03/2023;bo1Z8tcy6O;Feirão_Ação4;UNIASSELVI;
216;02/03/2023;MQjd25mBZh;LeoApp - Boas Vindas;UNIASSELVI;
217;06/03/2023;L6f2T0t4kj;MTF - Vencidos antigos;UNIASSELVI;
218;06/03/2023;xqG3PXb8Jt;MTF - a vencer com aceite;UNIASSELVI;
219;07/03/2023;USq3QkBRcX;Ação_Feirão5;UNIASSELVI;
220;08/03/2023;uVEfxgaNs0;Recomeço V3;UNIASSELVI;
221;09/03/2023;p6UbBGZYjJ;Prouni Pre-selecionado 1 Chamada;UNIASSELVI;
222;10/03/2023;ZKcnZAWKVK;Recomeço 23/1 – Veteranos;UNIASSELVI;
223;10/03/2023;X3IDeX0WJJ;Recomeço 23/1 – Veteranos (sem débito);UNIASSELVI;
224;13/03/2023;YjAZYB6wKF;SEMANA DO CONSUMIDOR;UNIASSELVI;
225;14/03/2023;MeGLIzy8u6;FP_Pedagogia;UNIASSELVI;
226;16/03/2023;QcjofFwsEb;Prouni 16.03 Pre-selecionado;UNIASSELVI;
227;16/03/2023;p22cKHJCMi;Rematrícula Tardia 02;UNIASSELVI;
228;16/03/2023;4sjm0wFKMe;Rematrícula Tardia 03;UNIASSELVI;
229;16/03/2023;555fyDXoxs;MTF - Inscritos;UNIASSELVI;
230;16/03/2023;Oton8XLk5f;HSM_Cobrança_Salesforce;UNIASSELVI;
